p,p_index,dataset_index,initialization,A,B,C,alpha,beta,g12,g13,g23,D,empirical_loss,empirical_optimum,optimization_error,gradient_norm,is_best
0.0,0,0,0,0.0,1.009918426140783,1.0092021369566908,1.5707963268414267,1.5707963268115843,1.0,2.1650457264214073e-21,2.7847936636089714e-22,1.0,2.4675615441800985e-21,0.0,2.4675615441800985e-21,9.39831134925004e-11,0
0.0,0,0,1,0.0,1.009918426140783,1.0092021369566908,1.570796326820873,1.5707963268420386,1.0,6.7476665319643175e-22,2.2223688046304577e-21,1.0,2.9242786231473686e-21,0.0,2.9242786231473686e-21,9.515162799525296e-11,0
0.0,0,0,2,0.0,1.009918426140783,1.0092021369566908,1.570796326842668,1.5707963268391945,1.0,2.282095307971586e-21,1.9622984027646772e-21,1.0,4.285085843146743e-21,0.0,4.285085843146743e-21,9.649019425865775e-11,0
0.0,0,0,3,0.0,1.009918426140783,1.0092021369566908,1.5707963267931104,1.5707963268437186,1.0,3.1904676940797987e-24,2.383587320329945e-21,1.0,2.4087435294121107e-21,0.0,2.4087435294121107e-21,9.854252594355594e-11,0
0.0,0,0,4,0.0,1.009918426140783,1.0092021369566908,1.5707963267927907,1.5707963268425043,1.0,4.434950706658966e-24,2.266486846614805e-21,1.0,2.2918223074255736e-21,0.0,2.2918223074255736e-21,9.609145260503242e-11,0
0.0,0,0,5,0.0,1.009918426140783,1.0092021369566908,1.5707963267958616,1.5707963268419984,1.0,9.311181209488323e-25,2.218581138437241e-21,1.0,2.2399371792699316e-21,0.0,2.2399371792699316e-21,9.507050817914898e-11,0
0.0,0,0,6,0.0,1.009918426140783,1.0092021369566908,1.5707963268404421,1.570796326802409,1.0,2.074393124564053e-21,5.643576140438635e-23,1.0,2.1519229305670744e-21,0.0,2.1519229305670744e-21,9.199449164685789e-11,1
0.0,0,0,7,0.0,1.009918426140783,1.0092021369566908,1.570796326747788,1.5707963268159413,1.0,2.219220243332145e-21,4.428777266642502e-22,1.0,2.6881845635658477e-21,0.0,2.6881845635658477e-21,9.515168739783589e-11,0
0.0,0,1,0,0.0,0.9706344028445413,1.0420337525780548,1.5707963268157952,1.5707963267493075,1.0,4.367495985216433e-22,2.078370533215929e-21,1.0,2.5896564317282955e-21,0.0,2.5896564317282955e-21,9.501086462825733e-11,0
0.0,0,1,1,0.0,0.9706344028445413,1.0420337525780548,1.5707963267480503,1.570796326796058,1.0,2.194581992940575e-21,1.3489756171683288e-24,1.0,2.1315424603357526e-21,0.0,2.1315424603357526e-21,9.094138867597784e-11,1
0.0,0,1,2,0.0,0.9706344028445413,1.0420337525780548,1.5707963268456853,1.5707963267966998,1.0,2.5794864956116984e-21,3.251396819918324e-24,1.0,2.507126399542999e-21,0.0,2.507126399542999e-21,9.85944128844122e-11,0
0.0,0,1,3,0.0,0.9706344028445413,1.0420337525780548,1.5707963267469949,1.570796326794889,1.0,2.2945770641408877e-21,5.792349893161864e-29,1.0,2.227195498791412e-21,0.0,2.227195498791412e-21,9.299016107958234e-11,0
0.0,0,1,4,0.0,0.9706344028445413,1.0420337525780548,1.5707963268455534,1.5707963267788594,1.0,2.5661064062784664e-21,2.5719283662072327e-22,1.0,2.7587547759737377e-21,0.0,2.7587547759737377e-21,9.833837021499476e-11,0
0.0,0,1,5,0.0,0.9706344028445413,1.0420337525780548,1.5707963268445557,1.5707963268065657,1.0,2.4660266533973406e-21,1.3616670200386656e-22,1.0,2.535500607584317e-21,0.0,2.535500607584317e-21,9.64016703602935e-11,0
0.0,0,1,6,0.0,0.9706344028445413,1.0420337525780548,1.5707963268437217,1.5707963267876799,1.0,2.3838908684979812e-21,5.208123428410188e-23,1.0,2.3681568935910525e-21,0.0,2.3681568935910525e-21,9.478265307690648e-11,0
0.0,0,1,7,0.0,0.9706344028445413,1.0420337525780548,1.5707963267456666,1.5707963267816076,1.0,2.4235943453416687e-21,1.765971687856819e-22,1.0,2.5364442606125217e-21,0.0,2.5364442606125217e-21,9.556869180088723e-11,0
0.0,0,2,0,0.0,1.0377411327853654,0.9668520312138495,1.5707963268258407,1.5707963267445288,1.0,9.57535772036459e-22,2.536912379192814e-21,1.0,3.446493143589756e-21,0.0,3.446493143589756e-21,9.739636385276965e-11,0
0.0,0,2,1,0.0,1.0377411327853654,0.9668520312138495,1.5707963267949072,1.570796326844296,1.0,1.1229447392077335e-28,2.4402920506106125e-21,1.0,2.3594014424204753e-21,0.0,2.3594014424204753e-21,9.552365077578113e-11,0
0.0,0,2,2,0.0,1.0377411327853654,0.9668520312138495,1.570796326795223,1.5707963267444836,1.0,1.065006262265954e-25,2.5414774589008893e-21,1.0,2.4573431635030402e-21,0.0,2.4573431635030402e-21,9.748395503790472e-11,0
0.0,0,2,3,0.0,1.0377411327853654,0.9668520312138495,1.5707963267887344,1.5707963267474563,1.0,3.797324012479781e-23,2.250585400452042e-21,1.0,2.21538945906993e-21,0.0,2.21538945906993e-21,9.173556882913833e-11,1
0.0,0,2,4,0.0,1.0377411327853654,0.9668520312138495,1.5707963267950131,1.5707963268458953,1.0,1.3575089310724597e-26,2.600867354529603e-21,1.0,2.5146679720732967e-21,0.0,2.5146679720732967e-21,9.861639247444742e-11,0
0.0,0,2,5,0.0,1.0377411327853654,0.9668520312138495,1.5707963267671803,1.5707963267478515,1.0,7.681952232211877e-22,2.213241035727725e-21,1.0,2.9370643721050575e-21,0.0,2.9370643721050575e-21,9.097129280197936e-11,0
0.0,0,2,6,0.0,1.0377411327853654,0.9668520312138495,1.5707963267963252,1.5707963268451801,1.0,2.0408229756110724e-24,2.528429755288373e-21,1.0,2.446735290628625e-21,0.0,2.446735290628625e-21,9.723339636013336e-11,0
0.0,0,2,7,0.0,1.0377411327853654,0.9668520312138495,1.5707963267698706,1.5707963268461873,1.0,6.263028041941015e-22,2.6307346953226076e-21,1.0,3.1934713652484483e-21,0.0,3.1934713652484483e-21,9.918101212372497e-11,0
0.0,0,3,0,0.0,0.9602960968020421,1.0153614457421112,1.5707963268425655,1.5707963267869027,1.0,2.2723258045143575e-21,6.390226221159416e-23,1.0,2.2469894940830533e-21,0.0,2.2469894940830533e-21,9.155255302171068e-11,0
0.0,0,3,1,0.0,0.9602960968020421,1.0153614457421112,1.5707963268429233,1.570796326759506,1.0,2.3065574293582385e-21,1.2524974412513651e-21,1.0,3.486715709199749e-21,0.0,3.486715709199749e-21,9.223957546595551e-11,0
0.0,0,3,2,0.0,0.9602960968020421,1.0153614457421112,1.5707963268069167,1.5707963268401806,1.0,1.444828379228315e-22,2.0506349991878316e-21,1.0,2.220882022776907e-21,0.0,2.220882022776907e-21,9.195912858039218e-11,0
0.0,0,3,3,0.0,0.9602960968020421,1.0153614457421112,1.5707963267906557,1.5707963268399503,1.0,1.7985157676624255e-23,2.029833836934138e-21,1.0,2.0782860960029346e-21,0.0,2.0782860960029346e-21,9.149153380894074e-11,1
0.0,0,3,4,0.0,0.9602960968020421,1.0153614457421112,1.570796326742933,1.5707963267755127,1.0,2.7002163288509123e-21,3.7573515696986567e-22,1.0,2.974514193313732e-21,0.0,2.974514193313732e-21,9.980089567157053e-11,0
0.0,0,3,5,0.0,0.9602960968020421,1.0153614457421112,1.5707963267472382,1.5707963267959653,1.0,2.271321466916679e-21,1.1419902765845618e-24,1.0,2.1823006721610318e-21,0.0,2.1823006721610318e-21,9.153231828394608e-11,0
0.0,0,3,6,0.0,0.9602960968020421,1.0153614457421112,1.570796326846451,1.5707963268017255,1.0,2.6578641176906997e-21,4.6634156453608694e-23,1.0,2.5996870625662826e-21,0.0,2.5996870625662826e-21,9.901512642446689e-11,0
