p,dataset_index,best_initialization,g12,g13,g23,D,deployed_gap,empirical_loss,gradient_norm,v1_1,v1_2,v1_3,v2_1,v2_2,v2_3,v3_1,v3_2,v3_3
0.2,0,2,6.88744915206936e-20,3.0814879110195774e-33,8.11697648727479e-34,6.887449152069279e-20,0.5,1.3052916225734313e-20,9.701058262856727e-11,0.20923661110857883,0.7360395475621402,0.6437902026252942,-0.9752384248053574,0.10884721494683493,0.19251570996020798,0.07162440549189382,-0.6681302778506497,0.7405888713430322
0.2,1,1,6.05606462387081e-20,1.925929944387236e-34,2.2395668219767504e-34,6.056064623870787e-20,0.5,1.212214753613372e-20,9.74774576165697e-11,-0.07420365334975651,-0.12450047367957714,0.9894409784737593,-0.9710059797292401,0.23511261226963065,-0.04323710075628457,-0.2272470136108959,-0.9639614575235383,-0.13833691920100363
0.2,2,0,5.807033698278936e-20,1.925929944387236e-34,1.2723424151417139e-33,5.807033698278808e-20,0.5,1.1822123226511462e-20,9.620262289425354e-11,0.17579407767584937,0.08806939485683166,-0.9804795887440233,-0.30264343641451674,-0.9429197619346599,-0.13895780995790305,-0.9367515106339308,0.3211636721091889,-0.1391060855692165
0.2,3,3,6.777789086816336e-20,9.949384185359841e-35,4.394126678165219e-37,6.777789086816336e-20,0.5,1.2626136237370141e-20,9.654375565417033e-11,0.11203219014208186,-0.09026636828326806,0.9895962667314979,0.0442347197615991,0.9953314975888622,0.08578169662069925,0.9927195363933365,-0.03416420218947193,-0.11550207509718616
0.2,4,0,6.002009694928152e-20,1.0833355937178202e-34,1.2727135029736374e-32,6.00200969492688e-20,0.5,1.225416633660021e-20,9.711858598243165e-11,-0.970815665551629,0.055004891572249484,0.2334339423106091,-0.15358056007171972,-0.8901702826373888,-0.4289637274611086,0.18420085508636855,-0.45229562217247665,0.8726389374472485
0.2,5,0,6.385648331776657e-20,1.925929944387236e-34,2.7434857579381247e-33,6.385648331776383e-20,0.5,1.2866135676773576e-20,9.978016742035625e-11,0.184934606586816,-0.07518810029566499,-0.979870369416541,-0.9318326513221689,0.3033624021161627,-0.19914608435068207,-0.31222924479230174,-0.9499042070481467,0.013960520357802606
0.2,6,2,5.0212246486706e-20,2.7733391199176196e-32,1.0133873264849037e-33,5.021224648670499e-20,0.5,1.1323323602544167e-20,9.719301305420967e-11,-0.05352173344623603,0.7212503180501477,-0.6906036509905453,-0.9616924866500919,-0.22343605998563537,-0.15882030165837913,-0.2688549518729486,0.6556480045595192,0.7055796971076445
0.2,7,5,6.902182679742889e-20,3.0814879110195774e-33,2.853680585360979e-35,6.902182679742886e-20,0.5,1.3240669034536326e-20,9.974323472379764e-11,0.06337324072660214,0.888956885906463,0.4535851489624543,-0.9895477578006514,0.11496367018925505,-0.08705509501642962,0.12953403963616023,0.44332720363451766,-0.8869509135759073
0.2,8,7,5.741848807145904e-20,3.0814879110195774e-33,2.2903011360364312e-34,5.741848807145881e-20,0.5,1.1571016613118037e-20,9.607207411883684e-11,0.07858539589355415,-0.4301861189088779,0.899313203867468,0.9947672935706169,0.09291655716332585,-0.0424799369950635,0.06528680748748528,-0.897945664549852,-0.4352369656683781
0.2,9,7,6.900468814163757e-20,4.333342374871281e-34,5.372588803293494e-34,6.900468814163703e-20,0.5,1.2983051069804193e-20,9.749407666387293e-11,0.5975036949926973,0.058499685323534334,-0.7997294050409309,0.15834820241700928,-0.9863037765827273,0.04615958286154256,-0.7860758113640619,-0.15421623502734896,-0.5985834709063736
0.2,10,0,6.835866441886727e-20,3.0814879110195774e-33,1.9783573065037767e-35,6.835866441886724e-20,0.5,1.293266953514476e-20,9.678799763000953e-11,0.20601323016668527,-0.5833958712198156,-0.7856257419662118,0.9783632846065065,0.10714903716443576,0.17698691242208453,-0.01907439214371215,-0.8050890269067885,0.5928472200479887
0.2,11,4,7.078906844866348e-20,7.703719777548943e-34,1.2728874409446767e-32,7.078906844865075e-20,0.5,1.324921948470547e-20,9.724441301578125e-11,0.19452286425858864,0.9763989616889288,-0.09383987901428932,0.2677818724383809,0.03917286964298216,0.9626828943516804,0.9436385558286136,-0.21239245249387467,-0.25384192340377104
0.2,12,0,4.6882339135477456e-20,6.367605878630299e-33,5.039828066355092e-34,4.688233913547695e-20,0.5,1.0639790690609573e-20,9.62821876365239e-11,-0.9301107135291795,0.16963994540333555,-0.32575504524380605,-0.12329176631457027,-0.9796871083062594,-0.15815280641693757,-0.34596705173703246,-0.10693670470910838,0.9321326838483578
0.2,13,3,9.004151981742091e-20,1.232595164407831e-32,2.3501722309403836e-33,9.004151981741856e-20,0.5,1.5813184844772584e-20,9.811407106916016e-11,-0.5334304086621366,0.8458258330881295,0.005537074617279835,-0.31168180672529583,-0.19047194414385532,-0.9309000428888784,0.7863246469310383,0.49829619572250144,-0.3652320508351652
0.2,14,5,4.9887495289552617e-20,1.232595164407831e-32,1.4901888986006189e-34,4.9887495289552466e-20,0.5,1.0823033867932074e-20,9.644203596328872e-11,-0.8942194139256046,0.4366607516987858,-0.09848364170967525,-0.0878977091031211,0.04443942192792804,0.9951377444922561,0.43891415166075803,0.8985279771455262,-0.0013571141020144045
0.2,15,1,6.977584502967176e-20,0.0,4.911228641748196e-34,6.977584502967126e-20,0.5,1.2772647378857768e-20,9.660777222539767e-11,-0.01671669705350658,0.04211501954248243,0.998972911128504,-0.9812041247178084,-0.192794494894741,-0.008291463986621537,0.1922472826467165,-0.9803349467722389,0.04454631805239406
0.2,16,0,8.438349279726764e-20,1.697413842587383e-33,7.0957214540759e-38,8.438349279726764e-20,0.5,1.4215574336651188e-20,9.717334470847251e-11,-0.7996278826576528,0.11908944285514242,0.5885685634460023,0.10112202379237606,0.9928450933754046,-0.06350556561844278,0.5919202527600749,-0.008736423303779198,0.805949185296633
0.2,17,7,5.603611835002647e-20,0.0,1.0634747269667106e-33,5.603611835002541e-20,0.5,1.2910473179115537e-20,9.902799963628371e-11,-0.8016610923023341,0.4595464629641722,-0.3823042524819041,0.4185117242891604,-0.025187786637715495,-0.9078620556212308,-0.4268341944623247,-0.8877964990784385,-0.17213351405745136
0.2,18,6,6.314399940412352e-20,1.345823482256437e-34,8.493415749568034e-36,6.31439994041235e-20,0.5,1.2404530563808945e-20,9.868979030979216e-11,0.2121237904682862,-0.022889010009616313,-0.976974713458924,0.020861875188162314,0.999603904481463,-0.018889582024170862,0.9770201019852275,-0.016374594794841987,0.2125172768555078
0.2,19,6,6.719467005406506e-20,1.9567749161528127e-33,1.1833891961202255e-34,6.719467005406494e-20,0.5,1.2543614238817895e-20,9.647909299418736e-11,0.20421255073867542,-0.044435536360880476,0.977917541119457,-0.07281204771472542,-0.9968915833750539,-0.030092801524062497,0.976214955753138,-0.06505885090695535,-0.20681321544467454
0.2,20,4,5.954244105974633e-20,0.0,3.7016078762296775e-35,5.954244105974629e-20,0.5,1.257679415380194e-20,9.821987969695161e-11,-0.30306888194098996,-0.9528240742532806,0.016599286804476594,0.9311397325343354,-0.2997886079459655,-0.20761885521721443,0.20280052060387807,-0.04746655884516838,0.9780689518813048
