p,p_index,dataset_index,A,B,C,empirical_optimum,empirical_g12,empirical_g13,empirical_g23,theory_optimum,theory_g12,theory_g13,theory_g23,theory_D,best_initialization,alpha,beta,g12,g13,g23,D,deployed_gap,optimization_error,gram_error_to_empirical,gram_error_to_population,gradient_norm
0.0,0,0,0.0,1.009918426140783,1.0092021369566908,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6,1.5707963268404421,1.570796326802409,1.0,2.074393124564053e-21,5.643576140438635e-23,1.0,-0.5,2.1519229305670744e-21,2.074393124564053e-21,2.074393124564053e-21,9.199449164685789e-11
0.0,0,1,0.0,0.9706344028445413,1.0420337525780548,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.5707963267480503,1.570796326796058,1.0,2.194581992940575e-21,1.3489756171683288e-24,1.0,-0.5,2.1315424603357526e-21,2.194581992940575e-21,2.194581992940575e-21,9.094138867597784e-11
0.0,0,2,0.0,1.0377411327853654,0.9668520312138495,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,1.5707963267887344,1.5707963267474563,1.0,3.797324012479781e-23,2.250585400452042e-21,1.0,-0.5,2.21538945906993e-21,2.250585400452042e-21,2.250585400452042e-21,9.173556882913833e-11
0.0,0,3,0.0,0.9602960968020421,1.0153614457421112,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,1.5707963267906557,1.5707963268399503,1.0,1.7985157676624255e-23,2.029833836934138e-21,1.0,-0.5,2.0782860960029346e-21,2.029833836934138e-21,2.029833836934138e-21,9.149153380894074e-11
0.0,0,4,0.0,1.0147793469758322,0.9904247998530037,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7,1.5707963267501457,1.5707963267997118,1.0,2.0026458172158953e-21,2.318613245395069e-23,1.0,-0.5,2.055207735213297e-21,2.0026458172158953e-21,2.0026458172158953e-21,9.08246408886507e-11
0.0,0,5,0.0,1.017231693802246,0.9604671443822622,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,1.5707963268423575,1.5707963267918843,1.0,2.252533502215998e-21,9.074061798085773e-24,1.0,-0.5,2.300063808028641e-21,2.252533502215998e-21,2.252533502215998e-21,9.655738780707396e-11
0.0,0,6,0.0,1.0031539032142542,1.019063129891333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,1.570796326841649,1.5707963267942648,1.0,2.1857792863452177e-21,3.9914360978132234e-25,1.0,-0.5,2.193079775198332e-21,2.1857792863452177e-21,2.1857792863452177e-21,9.379954160135443e-11
0.0,0,7,0.0,0.9810319757156647,0.9968967744949737,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,1.570796326805117,1.5707963267496863,1.0,1.0445718709050156e-22,2.0439749511058132e-21,1.0,-0.5,2.140107876535002e-21,2.0439749511058132e-21,2.0439749511058132e-21,9.014008662525736e-11
0.0,0,8,0.0,0.9566539066318434,0.9723601571585606,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.5707963267462495,1.5707963267904468,1.0,2.3665449687940776e-21,1.9801032551021552e-23,1.0,-0.5,2.2832182247400013e-21,2.3665449687940776e-21,2.3665449687940776e-21,9.307696757990491e-11
0.0,0,9,0.0,1.0127846546145647,0.9751529657129925,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.5707963267948877,1.570796326746725,1.0,7.997754478031534e-29,2.3204961144600665e-21,1.0,-0.5,2.2628387489412393e-21,2.3204961144600665e-21,2.3204961144600665e-21,9.394921687747925e-11
