p,theory_g12,theory_g13,theory_g23,theory_D,g12_low,g12_median,g12_high,g12_errminus,g12_errplus,g13_low,g13_median,g13_high,g13_errminus,g13_errplus,g23_low,g23_median,g23_high,g23_errminus,g23_errplus,D_low,D_median,D_high,D_errminus,D_errplus
0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
0.0500000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
0.1000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
0.1500000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
0.2000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
0.2500000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
0.3000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
0.3500000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
0.3819660113,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.8814291371,0.9901606182,1.0000000000,0.1087314811,0.0098393818,0.0000000000,0.0013135397,0.0183159788,0.0013135397,0.0170024391,0.0000000000,0.0039788598,0.0471303549,0.0039788598,0.0431514951,0.8360336021,0.9861817584,1.0000000000,0.1501481563,0.0138182416
0.4000000000,0.8708333333,0.0183333333,0.0527777778,0.8180555556,0.7367899507,0.8853353563,1.0000000000,0.1485454056,0.1146646437,0.0000000000,0.0174037612,0.0354299534,0.0174037612,0.0180261921,0.0000000000,0.0459599595,0.1155273310,0.0459599595,0.0695673715,0.6195295284,0.8396103757,1.0000000000,0.2200808473,0.1603896243
0.4500000000,0.5869668911,0.0517739899,0.2038452709,0.3831216202,0.4776791168,0.5892238249,0.6861155488,0.1115447081,0.0968917239,0.0423071892,0.0506929703,0.0639516348,0.0083857811,0.0132586645,0.1438901351,0.2048053473,0.2740330435,0.0609152122,0.0692276962,0.2042693655,0.3852360347,0.5432031404,0.1809666691,0.1579671057
0.5000000000,0.3750000000,0.0625000000,0.3750000000,0.0000000000,0.2962832462,0.3759676988,0.4323290265,0.0796844526,0.0563613277,0.0556539818,0.0611377664,0.0692329517,0.0054837846,0.0080951853,0.3235095826,0.3745371274,0.4578966922,0.0510275447,0.0833595648,-0.1647575301,0.0044268239,0.1088194438,0.1691843540,0.1043926199
0.5500000000,0.2038452709,0.0517739899,0.5869668911,-0.3831216202,0.1184172103,0.2078420813,0.2647908609,0.0894248710,0.0569487796,0.0383185615,0.0533237044,0.0612196545,0.0150051429,0.0078959501,0.4996779400,0.5782739588,0.7283998614,0.0785960188,0.1501259026,-0.6118887105,-0.3705465285,-0.2287131592,0.2413421820,0.1418333693
0.6000000000,0.0527777778,0.0183333333,0.8708333333,-0.8180555556,0.0030937785,0.0495006466,0.1127772006,0.0464068681,0.0632765540,0.0011833412,0.0167800309,0.0350437161,0.0155966897,0.0182636852,0.7417678772,0.8814464163,0.9919133655,0.1396785391,0.1104669492,-0.9888195870,-0.8331010214,-0.6278266306,0.1557185656,0.2052743908
0.6180339887,0.0000000000,0.0000000000,1.0000000000,-1.0000000000,0.0000000000,0.0018750585,0.0494334638,0.0018750585,0.0475584053,0.0000000000,0.0006848534,0.0177072186,0.0006848534,0.0170223652,0.8774536362,0.9951795215,1.0000000000,0.1177258853,0.0048204785,-1.0000000000,-0.9933044630,-0.8280201724,0.0066955370,0.1652842907
0.6500000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0000000000,0.0000000000
0.7000000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0000000000,0.0000000000
