p,g12,g13,g23,D
0.00000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.00500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.01000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.01500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.02000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.02500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.03000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.03500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.04000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.04500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.05000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.05500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.06000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.06500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.07000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.07500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.08000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.08500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.09000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.09500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.10000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.10500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.11000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.11500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.12000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.12500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.13000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.13500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.14000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.14500000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
0.15000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
