p,eta_0p2,eta_1p0,eta_5p0,eta_20p0
0.0,1.0,1.0,1.0,1.0
0.02,0.9679480823890511,0.9805806762256966,0.9934630662489004,0.9981257140543258
0.04,0.9382672420856224,0.9622504639546441,0.9871719791445486,0.9963092765182917
0.06,0.9107016558753804,0.9449112867779164,0.9811079338657609,0.9945463724744718
0.08,0.8850318161844043,0.9284770861006595,0.9752540719064662,0.9928330990802788
0.1,0.8610682345594338,0.9128720171117708,0.9695952403940917,0.9911659191322528
0.12,0.8386464138094748,0.8980289583006629,0.9641177855093863,0.9895416206231865
0.14,0.8176228012302841,0.8838882733640681,0.9588093746022888,0.9879572814246187
0.16,0.7978715071081374,0.8703967774765453,0.9536588425302686,0.9864102383644435
0.18,0.7792816250441594,0.8575068699669788,0.9486560585211805,0.9848980600867934
0.2,0.7617550291978622,0.8451758032177148,0.9437918104843823,0.9834185231734967
0.22,0.745204552218008,0.8333650636453451,0.9390577042031043,0.981969591086757
0.24,0.7295524691357873,0.8220398453496456,0.9344460752585348,0.9805493955599719
0.26,0.7147292287646557,0.8111686007311989,0.9299499118790227,0.9791562201144313
0.28,0.7006723865564166,0.8007226553279221,0.9255627871912822,0.9777884854304071
0.3,0.6873257023933262,0.7906758764543089,0.9212787995853366,0.9764447363374762
0.32,0.6746383741699247,0.7810043871036765,0.9170925201001294,0.9751236302225039
0.34,0.6625643837626303,0.7716863180768359,0.9129989458997549,0.9738239266797641
0.36,0.6510619364890814,0.7627015925158571,0.9089934590466489,0.9725444782623354
0.38,0.6400929787123806,0.7540317380072499,0.9050717898924203,0.9712842221773149
0.4,0.629622781065076,0.7456597222219399,0.8708317932515808,0.8297710206090696
0.42,0.6196195770176864,0.7375698087165374,0.6699670808519054,0.6421046575652324
0.44,0.610054248323698,0.606428034250797,0.4876740732184519,0.4694291663592174
0.46,0.590117208559399,0.3874890197112597,0.318327544458505,0.3073452440290251
0.48,0.2816850886469635,0.18900399451647543,0.15717727268105186,0.15202418353533087
0.5,2.3980817331903383e-16,3.7137848707402554e-07,0.0,0.0
0.52,-0.28168508864696334,-0.18900399451647498,-0.15717727268105586,-0.15202315606923766
0.54,-0.5900220015314125,-0.3874890197112606,-0.318327544458505,-0.3073427347960037
0.56,-0.6100542483236981,-0.606428034250797,-0.4876740732184559,-0.4694291663592174
0.58,-0.6196195770176867,-0.7375698087165379,-0.6699670808519094,-0.6421030928748062
0.6,-0.6296227810650762,-0.7456597222219394,-0.8708317932515808,-0.8297696084871672
0.62,-0.6400929787123806,-0.7540317380072499,-0.9050717898924163,-0.9712842221773149
0.64,-0.6510619364890816,-0.7627015925158571,-0.9089934590466529,-0.9725444782638532
0.66,-0.6625643837626303,-0.7716863180768354,-0.9129989458997549,-0.9738239266797152
0.68,-0.674638374169925,-0.7810043871036769,-0.9170925201001294,-0.9751236302227977
0.7000000000000001,-0.6873257023933262,-0.7906758764543094,-0.9212787995853366,-0.9764447363374762
0.72,-0.7006723865564164,-0.8007226553279225,-0.9255627871912822,-0.9777884854304071
0.74,-0.7147292287646563,-0.8111686007311989,-0.9299499118790227,-0.9791562201144313
0.76,-0.7295524691357874,-0.8220398453496451,-0.9344460752585348,-0.9805493955599229
0.78,-0.7452045522180077,-0.8333650636453447,-0.9390577042031083,-0.9819695910870997
0.8,-0.7617550291978619,-0.8451758032177143,-0.9437918104843863,-0.9834185231737904
0.8200000000000001,-0.7792816250441594,-0.8575068699669792,-0.9486560585211845,-0.9848980600867934
0.84,-0.797871507108137,-0.8703967774765458,-0.9536588425302726,-0.9864102383647373
0.86,-0.8176228012302836,-0.8838882733640681,-0.9588093746022888,-0.9879572814246187
0.88,-0.8386464138094748,-0.8980289583006638,-0.9641177855093863,-0.9895416206231865
0.9,-0.8610682345594338,-0.9128720171117717,-0.9695952403940917,-0.9911659191325466
0.92,-0.8850318161844041,-0.9284770861006595,-0.975254071906738,-0.9928330990805726
0.9400000000000001,-0.9107016558753805,-0.9449112867779168,-0.9811079338657649,-0.9945463724749124
0.96,-0.9382672420856227,-0.9622504639546441,-0.9871719791448164,-0.9963092765185855
0.98,-0.9679480823890508,-0.9805806762256961,-0.9934630662488964,-0.9981257140546196
1.0,-1.0,-1.0,-1.0,-1.0
